N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1689847,699884,497.1787637,1,0,1,"[4.0, 8.428571429]","[4.975062954, 9.040251603]","[6.09397452, 9.740804411]","[7.377861175, 10.54327699]","[8.850949687, 11.46263026]","[10.5410214, 12.51601912]","[12.47993277, 13.72311344]","[14.70421181, 15.10646575]","[17.25574158, 16.69193252]","[20.18254297, 18.50915648]","[23.53967125, 20.59211878]","[27.39024302, 22.97977129]","[31.80661091, 25.71675953]","[36.87170955, 28.85425049]"
1431594,1193109,365.9443041,1,0,1,"[2.857142857, 6.0]","[3.440481069, 5.576928602]","[4.087350238, 5.236602162]","[4.809010009, 4.974812687]","[5.618078815, 4.788543037]","[6.528754799, 4.675936308]","[7.557065293, 4.636283223]","[8.721148665, 4.670027622]","[10.04157414, 4.778790392]","[11.54170451, 4.965412448]","[13.24810842, 5.234017722]","[15.19102955, 5.590097491]","[17.40492039, 6.040617556]","[19.92905001, 6.594150321]"
881777,1406902,1330.676895,1,0,1,"[4.285714286, 6.428571429]","[4.649205937, 6.340391277]","[5.021490361, 6.268102429]","[5.40340566, 6.211424158]","[5.79580735, 6.170115208]","[6.199570314, 6.143972934]","[6.61559072, 6.132832561]","[7.044788014, 6.136566523]","[7.488107008, 6.155083879]","[7.946519842, 6.188329879]","[8.421028245, 6.236285528]","[8.912665571, 6.298967338]","[9.422499147, 6.376427075]","[9.951632488, 6.468751667]"
1055146,960139,147.0892841,0,1,2,"[7.714285714, 7.857142857]","[7.73685724, 8.021937113]","[7.765121127, 8.181876497]","[7.798670499, 8.337482075]","[7.837134452, 8.489231087]","[7.88017497, 8.637560733]","[7.927484051, 8.78287169]","[7.978781229, 8.925531151]","[8.03381109, 9.065875869]","[8.092341213, 9.204214677]","[8.15416017, 9.340830952]","[8.219075684, 9.475984857]","[8.286913082, 9.60991525]","[8.357513677, 9.742841659]"
1253559,1164200,4168.48681,0,1,2,"[6.142857143, 5.142857143]","[6.201472676, 5.68971384]","[6.307697835, 6.238501946]","[6.458400432, 6.793707193]","[6.651090178, 7.359489379]","[6.883843162, 7.939745152]","[7.155237515, 8.538163246]","[7.464298798, 9.158273244]","[7.810453787, 9.803488858]","[8.193491557, 10.47714655]","[8.613530919, 11.18254019]","[9.070993386, 11.92295248]","[9.56658101, 12.70168348]","[10.10125847, 13.52207689]"
1192077,1690138,3736.724129,0,1,2,"[4.142857143, 4.0]","[4.513293145, 4.744978128]","[4.929059879, 5.616042329]","[5.396804426, 6.633980654]","[5.92422071, 7.822980893]","[6.520218246, 9.21118481]","[7.195118221, 10.83133241]","[7.960881347, 12.72151073]","[8.831372759, 14.92602457]","[9.82266961, 17.49640771]","[10.9534188, 20.49259888]","[12.24525221, 23.98430674]","[13.72326957, 28.05259686]","[15.41659877, 32.79173284]"
1024882,1390523,3587.131652,0,1,2,"[1.142857143, 0.285714286]","[1.20878298, 0.413817366]","[1.290139945, 0.552841734]","[1.38855389, 0.704740455]","[1.505905526, 0.871697735]","[1.644362548, 1.05616277]","[1.8064163, 1.260888017]","[1.994923585, 1.488972486]","[2.213154298, 1.743910756]","[2.464845643, 2.029648473]","[2.754263884, 2.350645302]","[3.086274532, 2.711946214]","[3.466422174, 3.11926236]","[3.901021279, 3.579062844]"
1711801,1640611,3338.521792,0,1,2,"[2.571428571, 7.857142857]","[2.781392321, 8.23217432]","[3.000079605, 8.633361168]","[3.228186592, 9.061965542]","[3.466438922, 9.5193364]","[3.715594002, 10.00691373]","[3.976443409, 10.52623304]","[4.2498154, 11.07893021]","[4.536577498, 11.6667465]","[4.837639253, 12.29153404]","[5.153955125, 12.95526167]","[5.486527432, 13.66002094]","[5.836409561, 14.40803275]","[6.204709271, 15.20165427]"
889324,1191493,1503.615061,0,1,2,"[1.857142857, 0.285714286]","[1.926933388, 0.428656292]","[2.008068528, 0.586411562]","[2.101836611, 0.760786397]","[2.209680434, 0.953801051]","[2.333215591, 1.167715178]","[2.474251002, 1.405056327]","[2.634811856, 1.66865178]","[2.817165303, 1.961664215]","[3.02384919, 2.287631576]","[3.257704195, 2.650511677]","[3.521909785, 3.054732094]","[3.820024447, 3.505246005]","[4.156030687, 4.00759462]"
1719978,1132997,738.9664913,0,1,2,"[0.285714286, 3.714285714]","[0.595057664, 4.099034634]","[0.973294154, 4.554326548]","[1.434658265, 5.094429442]","[1.996302711, 5.736529325]","[2.678895983, 6.501327486]","[3.507342146, 7.413759862]","[4.511647871, 8.50386346]","[5.727966727, 9.807819815]","[7.199856898, 11.36921154]","[8.979795783, 13.24053533]","[11.13100378, 15.48502345]","[13.72964004, 18.17883636]","[16.86744575, 21.41370147]"
817239,672713,1900.631717,1,0,1,"[2.571428571, 7.571428571]","[3.114208852, 7.053044782]","[3.633034474, 6.617190271]","[4.132864686, 6.254812488]","[4.618157323, 5.958004336]","[5.092934552, 5.719867468]","[5.560840823, 5.534392339]","[6.025194106, 5.396352821]","[6.489031121, 5.301213801]","[6.95514737, 5.245050104]","[7.426132581, 5.224475389]","[7.904402168, 5.236579804]","[8.392225171, 5.278875357]","[8.891749135, 5.34924807]"
1654401,917229,741.4307731,0,1,2,"[0.285714286, 4.571428571]","[0.502130186, 5.493983356]","[0.787188829, 6.62055249]","[1.159338115, 7.998576505]","[1.641706239, 9.686800307]","[2.263261381, 11.75799533]","[3.06025561, 14.30233897]","[4.078022171, 17.43160956]","[5.373212151, 21.2843928]","[7.016577049, 26.03254173]","[9.096429432, 31.88918924]","[11.72294589, 39.1186825]","[15.03351481, 48.04889216]","[19.19938004, 59.08645332]"
1632442,757233,1747.353569,1,0,1,"[3.285714286, 2.857142857]","[4.300840853, 3.613151743]","[5.615027339, 4.58591006]","[7.315679836, 5.83846724]","[9.515707913, 7.452251306]","[12.36095838, 9.532422927]","[16.03981182, 12.21478566]","[20.79556866, 15.67470246]","[26.94243037, 20.13859607]","[34.88611326, 25.89877643]","[45.1504242, 33.33254523]","[58.41150183, 42.9267921]","[75.54190252, 55.30963146]","[97.66729823, 71.29103778]"
1068313,671086,692.895206,1,0,1,"[1.857142857, 1.0]","[2.23012336, 1.044053165]","[2.662961554, 1.108675033]","[3.166557564, 1.19615714]","[3.753656335, 1.309316954]","[4.43917288, 1.451576535]","[5.240573486, 1.627056106]","[6.178322521, 1.840685]","[7.276406189, 2.098332831]","[8.562946758, 2.406964372]","[10.07092261, 2.774822045]","[11.83901237, 3.211640723]","[13.91258488, 3.728900454]","[16.34485917, 4.340123302]"
899749,1605201,1687.465617,1,0,1,"[4.857142857, 8.285714286]","[5.525686469, 8.439445776]","[6.196878057, 8.630940715]","[6.874089139, 8.859721855]","[7.560590791, 9.125523325]","[8.25957442, 9.428280989]","[8.974171321, 9.768124206]","[9.707471124, 10.14536892]","[10.46253928, 10.56051199]","[11.24243376, 11.01422662]","[12.05022117, 11.50735889]","[12.88899196, 12.04092536]","[13.76187536, 12.61611157]","[14.67205408, 13.23427144]"
867249,782523,3118.474016,1,0,1,"[6.142857143, 1.285714286]","[6.508906167, 1.45619867]","[6.901121959, 1.628413589]","[7.320886587, 1.803421225]","[7.769700006, 1.982252683]","[8.249184438, 2.165916259]","[8.761089329, 2.35540517]","[9.307296911, 2.551704813]","[9.889828356, 2.755799636]","[10.51085059, 2.968679705]","[11.17268369, 3.19134695]","[11.87780889, 3.424821182]","[12.62887737, 3.670146016]","[13.42871967, 3.928394642]"
1173574,1542486,2555.009741,1,0,1,"[0.714285714, 7.857142857]","[1.228582805, 7.673254296]","[1.776794662, 7.524244868]","[2.363863272, 7.411068457]","[2.995212753, 7.3349361]","[3.67680573, 7.297336359]","[4.415205803, 7.300058372]","[5.217646648, 7.345217814]","[6.092108554, 7.435286088]","[7.047403249, 7.573123096]","[8.093267849, 7.762013934]","[9.240468966, 8.005709925]","[10.50091807, 8.308474463]","[11.88779936, 8.675134168]"
