seed,binary_accuracy,binary_auc,binary_f1,multiclass_accuracy,multiclass_macro_auc,multiclass_macro_f1
5,0.99675,0.999918997,0.996765365,0.9555,0.996539082,0.955495753
21,0.993,0.999800493,0.993034826,0.95065,0.995467945,0.95064764
66,0.994,0.99972324,0.994032819,0.947675,0.995923035,0.947662182
87,0.99475,0.999904497,0.99477482,0.946925,0.997405333,0.946924119
42,0.9945,0.999867745,0.9945,0.9507,0.9955,0.9507
12,0.99525,0.999782992,0.99528419,0.94865,0.99561514,0.948649261
2026,0.9925,0.99971074,0.992537313,0.948,0.995596331,0.947988425
37,0.99075,0.999460481,0.990821136,0.94925,0.997039377,0.949240906
101,0.996,0.999677113,0.996025832,0.947975,0.995619385,0.947972425
3407,0.9935,0.999561984,0.993545184,0.952375,0.99718483,0.952366075
