N1,N2,N3,N4,N5,N6,N7,N8,Ts,gamI1-Day1,gamI2-Day1,gamI3-Day1,gamI4-Day1,gamI5-Day1,gamI6-Day1,gamI7-Day1,gamI8-Day1,gamI1-Day2,gamI2-Day2,gamI3-Day2,gamI4-Day2,gamI5-Day2,gamI6-Day2,gamI7-Day2,gamI8-Day2,gamI1-Day3,gamI2-Day3,gamI3-Day3,gamI4-Day3,gamI5-Day3,gamI6-Day3,gamI7-Day3,gamI8-Day3,gamI1-Day4,gamI2-Day4,gamI3-Day4,gamI4-Day4,gamI5-Day4,gamI6-Day4,gamI7-Day4,gamI8-Day4,gamI1-Day5,gamI2-Day5,gamI3-Day5,gamI4-Day5,gamI5-Day5,gamI6-Day5,gamI7-Day5,gamI8-Day5,gamI1-Day6,gamI2-Day6,gamI3-Day6,gamI4-Day6,gamI5-Day6,gamI6-Day6,gamI7-Day6,gamI8-Day6,gamI1-Day7,gamI2-Day7,gamI3-Day7,gamI4-Day7,gamI5-Day7,gamI6-Day7,gamI7-Day7,gamI8-Day7,gamI1-Day8,gamI2-Day8,gamI3-Day8,gamI4-Day8,gamI5-Day8,gamI6-Day8,gamI7-Day8,gamI8-Day8,gamI1-Day9,gamI2-Day9,gamI3-Day9,gamI4-Day9,gamI5-Day9,gamI6-Day9,gamI7-Day9,gamI8-Day9,gamI1-Day10,gamI2-Day10,gamI3-Day10,gamI4-Day10,gamI5-Day10,gamI6-Day10,gamI7-Day10,gamI8-Day10,gamI1-Day11,gamI2-Day11,gamI3-Day11,gamI4-Day11,gamI5-Day11,gamI6-Day11,gamI7-Day11,gamI8-Day11,gamI1-Day12,gamI2-Day12,gamI3-Day12,gamI4-Day12,gamI5-Day12,gamI6-Day12,gamI7-Day12,gamI8-Day12,gamI1-Day13,gamI2-Day13,gamI3-Day13,gamI4-Day13,gamI5-Day13,gamI6-Day13,gamI7-Day13,gamI8-Day13,gamI1-Day14,gamI2-Day14,gamI3-Day14,gamI4-Day14,gamI5-Day14,gamI6-Day14,gamI7-Day14,gamI8-Day14,predict_label
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,700,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,800,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,900,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1000,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1100,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1200,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1300,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1400,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1500,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
1601910,756840,1543858,1019102,1020259,1304618,958333,1251904,1600,8,6,2,1,1,1,0,3,21,2,4,2,2,0,1,2,30,3,3,2,7,2,4,4,16,4,3,4,1,11,9,5,24,4,3,1,1,5,5,4,20,7,1,4,5,5,14,10,56,5,9,22,7,13,24,18,48,3,16,20,2,4,28,21,95,8,1,16,4,5,14,22,58,4,3,30,1,3,18,31,71,6,4,22,3,3,20,15,85,16,3,8,3,3,20,15,63,7,3,24,2,17,37,16,60,8,1,4,1,15,24,9,1
