N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1769734,1611728,52.7002052,1,0,1,"[2.857142857, 2.714285714]","[2.850770596, 2.7304612]","[2.846185737, 2.744865178]","[2.843107428, 2.757778522]","[2.841299146, 2.769437776]","[2.840561701, 2.780042151]","[2.84072735, 2.789759409]","[2.841654831, 2.798730837]","[2.843225158, 2.807075437]","[2.845338142, 2.814893423]","[2.847909427, 2.82226917]","[2.850867934, 2.829273776]","[2.854153831, 2.835967099]","[2.857716741, 2.842399532]"
1683790,1075434,1765.75054,0,1,2,"[8.0, 5.428571429]","[8.128741385, 6.004086335]","[8.269830549, 6.610292027]","[8.423935624, 7.249053291]","[8.591765148, 7.922344408]","[8.774070437, 8.632255579]","[8.971648088, 9.380999725]","[9.185342644, 10.17091971]","[9.416049407, 11.00449595]","[9.664717391, 11.88435443]","[9.932352489, 12.81327526]","[10.22002083, 13.79420171]","[10.52885222, 14.83024962]","[10.86004398, 15.92471756]"
906459,1257005,2075.719133,1,0,1,"[5.571428571, 1.428571429]","[6.179132123, 1.552817051]","[6.850940142, 1.693486532]","[7.593837343, 1.852010263]","[8.415543924, 2.030007111]","[9.324595332, 2.229300799]","[10.33043043, 2.451938443]","[11.44348882, 2.700211416]","[12.67531844, 2.976678745]","[14.0386943, 3.284193274]","[15.5477498, 3.625930863]","[17.21812171, 4.005422895]","[19.06711035, 4.426592438]","[21.11385651, 4.893794385]"
1675240,1120991,1785.749652,0,1,2,"[2.142857143, 6.428571429]","[2.347104555, 6.608261242]","[2.545815943, 6.801299408]","[2.740193006, 7.007481638]","[2.931332036, 7.226671159]","[3.120236018, 7.458793211]","[3.307825481, 7.703830192]","[3.494948221, 7.961817384]","[3.682388022, 8.232839209]","[3.870872455, 8.517025959]","[4.061079906, 8.81455094]","[4.253645942, 9.125627972]","[4.449168926, 9.450509288]","[4.648215094, 9.789483714]"
1281852,1453986,625.4683889,0,1,2,"[8.285714286, 7.571428571]","[8.721895115, 9.025965791]","[9.208448531, 10.66984009]","[9.751744616, 12.5271829]","[10.35896341, 14.62519294]","[11.03819772, 16.99452462]","[11.79856899, 19.66972585]","[12.65035772, 22.68973029]","[13.60515041, 26.09841168]","[14.67600507, 29.94520768]","[15.87763742, 34.28582122]","[17.22663051, 39.18300923]","[18.7416708, 44.70746965]","[20.44381359, 50.93883808]"
1457113,691168,1636.436594,1,0,1,"[1.714285714, 0.857142857]","[1.852685329, 0.892416259]","[1.999571856, 0.930931396]","[2.155550983, 0.972874489]","[2.321268033, 1.01844557]","[2.497410682, 1.067859365]","[2.684711864, 1.121346239]","[2.883952865, 1.179153211]","[3.095966627, 1.24154503]","[3.321641258, 1.308805332]","[3.56192379, 1.38123787]","[3.817824209, 1.459167843]","[4.090419709, 1.542943296]","[4.38085924, 1.632936623]"
1647650,1318213,639.4921823,0,1,2,"[2.857142857, 7.0]","[3.559603217, 8.10232259]","[4.379001616, 9.385785468]","[5.33458792, 10.88018817]","[6.448777705, 12.62022882]","[7.747672158, 14.64630787]","[9.2616631, 17.00546333]","[11.02613706, 19.75245861]","[13.08229442, 22.95104784]","[15.47810207, 26.67544672]","[18.2694018, 31.01204311]","[21.52119857, 36.06138392]","[25.30915831, 41.94048389]","[29.72134869, 48.7855066]"
1728290,1261062,1268.189234,1,0,1,"[8.428571429, 7.428571429]","[9.245286818, 8.025446603]","[10.13685909, 8.684763115]","[11.11041313, 9.411949659]","[12.17373337, 10.21297029]","[13.33532573, 11.0943726]","[14.60448546, 12.06334051]","[15.99137106, 13.12775198]","[17.50708518, 14.29624231]","[19.16376289, 15.57827322]","[20.97466807, 16.98420853]","[22.95429873, 18.5253968]","[25.11850199, 20.21426177]","[27.4845996, 22.06440104]"
1795736,1379361,768.8727605,0,1,2,"[5.714285714, 7.285714286]","[5.81211769, 8.188681783]","[5.955339939, 9.152101999]","[6.144873556, 10.18328954]","[6.38200013, 11.29005819]","[6.668370095, 12.48077984]","[7.00601393, 13.76444751]","[7.397356278, 15.15074279]","[7.845233067, 16.65010842]","[8.352911771, 18.27382628]","[8.924114923, 20.03410157]","[9.563047059, 21.94415361]","[10.27442527, 24.0183141]","[11.06351357, 26.27213329]"
1761448,770317,170.9666447,0,1,2,"[3.857142857, 4.714285714]","[4.149434407, 5.238651418]","[4.473814959, 5.813190098]","[4.833366791, 6.442943911]","[5.231481362, 7.133452496]","[5.67188979, 7.890802184]","[6.158696354, 8.721680049]","[6.696415297, 9.633433264]","[7.290011252, 10.63413426]","[7.944943657, 11.73265225]","[8.667215526, 12.93873178]","[9.463427016, 14.26307883]","[10.34083424, 15.71745544]","[11.30741387, 17.31478338]"
